father,Pwdr
mother,mdr
son,sn
daughter,fOtr
brother,bRdr
sister,isstr
husband,hsbYNf
wife,vwieP
grandfather,gRYNfPwdr
grandmother,gRYNfmdr
grandson,gRYNfsn
granddaughter,gRYNffOtr
uncle,AMkl
aunt,AWtI
papa,pwpw
mama,mwmw
nana,nwnw
nani,nwnI
dada,dwdw
dadi,dwdI
taya,qwieAw
tayi,qwieI
chacha,cwcw
chachi,cwcI
mami,mwmI
mausa,mOsw
mausi,mOsI
phuppa,PUPw
bua,BUAw
phupha,PUPw
fufa,PUPw
massar,mwsV
massarani,mwsVnI
devar,dyvr
jeth,jyT
jethani,jyTwxI
nanad,nxMd
sala,swlw
sali,swlI
samdhi,smDI
samdhini,smiDxI
sasur,ssur
sas,s`s
saura,shurw
saas,s`s
susral,ssurwl
pihar,pIhr
mayika,mwiekw
ghar,Gr
parivar,pirvwr
khandaan,Kwndwn
rishtedaar,irSqydwr
nataal,nqwl
gotra,goqr
kul,kul
vansh,vMS
peedi,pIFI
purkha,purKw
buzurg,bzurg
bade,b`Vy
chote,Coty
jetha,jyTw
kanishtha,kinST
vada,v`fw
nikka,in`kw
bhai,BweI
bhen,Byx
bhabhi,BwBI
bhabi,BwbI
bhena,BYxw
jija,jIjw
jijai,jIjweI
bhanja,Bwxjw
bhanji,BwxjI
mamasar,mwmwsr
mameri,mmyrI
tayaser,qwXsr
tayeri,qwXyrI
chachaser,cwcwsr
chacheri,cwcyrI
phuphaser,Pu`Pwsr
phupheri,Pu`PyVI
mausaser,mOswsr
mauseri,mOsyrI
nandoi,nMdoeI
devrani,dyvrwnI
mayke,mwieky
peehar,pIhr
jamai,jmweI
damad,dmwd
bahu,bhU
putr,pu`qr
vadhu,v`DU
snusha,snuSw
bharjai,BrjweI
devrani,dyvrwxI
bhauji,BwaujI
didi,dIdI
choti,CotI
badi,bVI
jetha,jyTw
munda,mMufw
kudi,kuVI
bachcha,b`cw
baccha,b`cw
bacha,b`cw
bachchi,b`cI
nikki,in`kI
vadda,v`fw
vaddi,v`fI
mata,mwqw
pita,ipqw
maiya,mweIAw
bauji,bwaUjI
pitaji,ipqwjI
mataji,mwqwjI
papaji,pwpwjI
mamaji,mwmwjI
nanaji,nwnwjI
naniji,nwnIjI
dadaji,dwdwjI
dadiji,dwdIjI
tauji,qwaUjI
chachaji,cwcwjI
mamasahab,mwmwswihb
buaji,buAwjI
mausiji,mOsIjI
fufaji,PUPwjI
sasurji,ssurjI
bharjaayi,BrjweI
bharjai,BrjweI
jijaji,jIjwjI
behnoi,byhnoeI
dulha,dulHw
dulhan,dulHn
raja,rwjw
rani,rwxI
shohar,Sohr
begum,bygm
bibi,bIbI
gharwali,GrvwlI
gharwala,Grvwlw
joru,jorU
aurat,Aorq
mard,mrd
admii,AwdmI
insaan,ieMswn
vyakti,ivAkqI
shakhs,SKs
banda,bMdw
janani,jnwnI
putra,p`uqrw
putri,p`uqrI
bhrata,Brqw
pati,pqI
patni,pqnI
swami,svwmI
dampatii,dmpqI
yugal,Xugl
joda,joVw
saathi,swQI
jeevan,jIvn
premi,pRymI
premika,pRyimkw
ishq,ieSk
mohabbat,moh`bq
pyar,ipAwr
prem,pRym
sneh,snyh
mamta,mmqw
sneha,snyhw
daya,idAw
karuna,kruxw
kripa,ikrpw
aashirwad,AwSIrvwd
ashish,AwSIS
kalyan,kilAwx
mangal,mMgl
shubh,SuB
subha,subHw
khushi,KuSI
anand,AwnMd
harsha,hrSw
ullasa,auul`wsw
prasannata,pRsMnqw
santosh,sMqoS
tripti,iqRpqI
shanti,SwNqI
sukh,su`K
chain,cYn
aram,Arwm
aish,AYS
mazaa,mzw
masti,msqI
raag,rwg
rang,rMg
rangin,rMgIn
haseen,hsIn
sundar,sMdr
khoobsurat,KUbsurq
gora,gorw
gori,gorI
kala,kwlw
kali,kwlI
lamba,lMbw
lambi,lMbI
chota,Cotw
mota,motw
moti,motI
patla,pqlw
patli,pqlI
dubla,dublw
dubli,dublI
tagda,qgVw
tagdi,qgVI
kamzor,kmzor
majboot,mzbUq
taakat,qwkq
shakti,SkqI
bal,bl
jor,jor
himmat,ih`mq
hausla,hOslw
sabar,sbr
intezaar,ieMqyzwr
ummeed,aumId
aasha,AwSw
bharosa,Brosw
vishwas,ivSvws
yakeen,XkIn
aitbaar,AYqbwr
sahara,shwrw
madad,mdd
sahaayata,shwieqw
upkaar,aupkwr
ehsaan,eyhswn
kirpa,ikrpw
reham,rihm
shafkat,SPkq
wafa,vPw
imaandaari,iemwndwrI
sachchai,scweI
sachcha,s`cw
jhooth,JUT
jhoota,JUTw
galat,glq
sahi,shI
theek,TIk
achha,A`Cw
bura,burw
naik,nyk
shaitan,SYqwn
badmash,bdmwS
shareef,SrIP
bhala,Blw
neki,nykI
burai,burweI
gunah,gunwh
paap,pwp
punya,puNnX
sawab,svb
hasanat,hsnq
khair,Kyr
fayda,Pwiedw
nuksan,nukswn
labh,lwB
haani,hwnI
jeet,jIq
haar,hwr
safalta,sPlqw
asafalta,AsPlqw
kamyaabi,kwmXwbI
naakamyaabi,nwkwmXwbI
taraqqi,qr`kI
unnati,au`nqI
agge,A`gy
piche,ip`Cy
upar,au`pr
niche,in`cy
andar,AMdr
bahar,bwhr
paas,pws
door,dUr
najdeek,njdIk
kareeb,krIb
samne,swhmxy
peeche,pICy
bagal,bgl
saath,swQ
sang,sMg
saanji,sWjI
mitar,im`qr
dost,dosq
saheli,shylI
yaar,Xwr
rafeeq,rPIk
shagird,Swhigrd
ustaad,ausqwd
guru,gurU
shishya,iSSXw
vidyarthi,ividAwrQI
adhyapak,AiDAwpk
sikshak,is`iKAwk
acharya,AcwrIAw
pandit,pMifq
gyanee,igAwnI
buddhi,bu`DI
akal,Akl
samajh,smJ
dimaag,idmwg
dimakh,idmwK
zehan,zyhn
dil,idl
rooh,rUh
aatma,Awqmw
jaan,jwn
zindagi,izMdgI
jeevan,jIvn
hayat,hXwq
umar,aumr
vayas,vwXs
jawani,jvwnI
budhapa,buFwpw